序号,section,题号,单词,音标,释义
20,S1,Q4,ad hoc,"[,?d'h?k]","1.  即兴的  made or done without planning because of an immediate?need
2.  特别的  formed or used for a special?purpose"
21,S1,Q4,superficial,"[,sup?'f??l]","1. (人)  肤浅的  If you describe someone as superficial, you disapprove of them because they do?not?think?deeply, and have little understanding of anything serious or important.
2.  表面上的     concerned only with what is obvious or apparent : not?thorough?or?complete"
22,S1,Q4,spontaneous,[spɑn'ten??s],(人)天真率直的（褒义);     (sth)自发的，自然而生的     done or said in a natural and sudden way and without?a?lot?of?thought?or?planning  ：  instinctive，??involuntary
23,S1,Q4,exhaustive,[?g'z?st?v],详尽的，全面的  including all possibilities :     very?thorough?and?complete
24,S1,Q5,enigma,[?'n?gm?],难解之谜  something or someone that is difficult?to?understand?or?explain
25,S1,Q5,neutralized,['n?tr?'la?zd],"1.  使无效;  使不能正常运作  to stop someone or something from?being????effective?of?harmful?
2.  中立的  to make something, such as a country or area neutral during a war"
26,S1,Q6,intensification,"[?n,t?ns?f?'ke??n]",强化；加剧  to become?stronger?or?more?extreme : to become more intense
27,S1,Q6,tedious,['tid??s],单调乏味的  boring and too slow or long
28,S1,Q6,exclusive,[?k'sklus?v],专用的;  独有的  not shared :?available?to?only?one?person?or?group
29,S1,Q6,fickle,['f?kl],善变的  changing    often【拓研教育：YunMengZe1020】
30,S1,Q6,antiquarian,"[,?nt?'kw?r??n]",古董的  Antiquarian means concerned with old?and?rare?objects.
31,S1,Q6,comprehensive,[?kɑ?mpr??hens?v],"全面的，广泛的  including all the necessary facts,details,or problems that need to be dealt
with : thorough,inclusive"
32,S1,Q6,legitimate,[l??d??t?m?t],"1.  合理的  If you say that something such as a feeling or claim is legitimate, you think that it is reasonable?and?justified.
2.合法的  Something that is legitimate is acceptable?according?to?the?law."
33,S1,Q7,partiality,['pɑr??'?l?ti],"偏心；偏袒  an unfair tendency to treat one person, group, or thing better than another【拓
研教育：YunMengZe1020】"
34,S1,Q7,deviate from,['div?et] [fr?m],"从…偏离；违背(原则)；脱离(常规等) to do something that is different or to be?different?from
what?is?usual?or?expected"
35,S1,Q7,succumb to,[s?'k?m] [t?;tu;tu?],屈服  to stop?trying?to?resist?something
36,S1,Q7,recoil from,['rik??l] [fr?m],"(因厌恶,害怕等而)  拒绝     to quickly move away from something that is shocking,?frightening,
or?disgusting"
37,S1,Q7,yield to,[jild] [t?;tu;tu?],"屈服  If you yield to someone or something, you stop?resisting them."
38,S1,Q7,shrink from,[?r??k] [fr?m],"逃避  (不愉快或危险的事) If you do not shrink from a task or duty, you do it even though it is
unpleasant or dangerous."
39,S1,Q8,singular,['s??ɡj?l?],"1.  单一的  of or relating to a separate person or thing : individual
2.  非凡的??better?or?greater than what is usual or normal"
40,S1,Q8,unique,[j?'nik],"1. being the only one of its kind : individual, different
2.  极不寻常的;  独特的  very unusual?or?special"
41,S1,Q8,archaic,[ɑr'ke?k],"陈旧的，古老的  of, relating to , or more primitive time : antiquated"
42,S1,Q8,counterfeit,['ka?nt?'f?t],"1.  伪造的  made to look like an exact copy of something in order to deceive people
2.  虚伪的  insincere?,feigned"
43,S1,Q8,fake,[fe?k],"伪造的  not?true?or?real?: meant to look real or genuine but not real or genuine : counterfeit ,
sham"
44,S1,Q9,epilogue,['?p?l?g],"(书的)后记; (戏剧的)收场白    An epilogue is a passage or speech that is added?to?the?end?of a
book or play as a conclusion."
45,S1,Q9,imprecision,['?mpr?'s???n],不精确，不明确  not?clear?or?exact : not precise
46,S1,Q9,overstatement,"[,?uv?'steitm?nt]",夸大其辞  to state in too strong terms : exaggerate
47,S1,Q9,misinterpretation,"[,m?s?n,t?pr?'te??n]",误解  to understand?or?explain?something?incorrectly : to interpret something incorrectly
48,S1,Q9,vague,[veg],"模糊的  not?clearly?or?precisely expressed ;  ??not?clear?in?meaning ;    not?completely?formed
or developed"
49,S1,Q9,exaggeration,"[?g,z?d??'re??n]",夸张  to enlarge beyond bounds or the truth : overstate
50,S1,Q9,hyperbole,[ha?'p?b?li],夸张  extravagant exaggeration
51,S1,Q10,upheaval,[?p'hivl],"动乱  a major change or period of change that causes?a?lot?of?conflict,?confusion,?anger, etc."
52,S1,Q10,imminent,['?m?n?nt],即将到来的  happening?very?soon
53,S1,Q10,prescient,['pr?s??nt],有先见之明的，预知的  the ability to know what will or might happen in the future
54,S1,Q10,prophetic,[pr?'f?t?k],预知的  correctly stating what will happen in the future
55,S1,Q10,indifferent,[?n'd?fr?nt],"1.  没兴趣的，冷淡的  marked by a lack of enthusiasm : apathetic
2.  公正的  marked by impartiality : unbiased"
56,S1,Q10,apathetic,"[,?p?'θ?t?k]",没兴趣的  having little or interest or concern：??indifferent
57,S2,Q1,impenetrable,[?m'p?n?tr?bl],"1.不能穿透的  impossible?to?pass?or see through
2.不能理解的  impossible?to?understand"
58,S2,Q1,immutable,[?'mjut?bl],不变的  unable?to?be?changed
59,S2,Q1,proprietary,[pr?'pra??t?ri],"专有的  used, made, or sold only?by?the?particular?person?or?company that has the legal right
to do so"
60,S2,Q1,didactic,[da?'d?kt?k],说教的  designed or intended to teach?people something
61,S2,Q1,self-perpetuating,['selfp?'pet?ueiti?],"能使自身永久存在的  (of machine, emotion, idea, etc) continuing?or?prevailing without any
external agency or intervention"
62,S2,Q2,mysterious,[m?'st?r??s],"神秘的;  难以理解的  strange, unknown, or difficult?to?understand"
63,S2,Q2,diversity,[d??v?s?ti],"多样性  the quality or state of having?many?different?forms,?types,?ideas,etc"
64,S2,Q2,plasticity,[pl?'st?s?ti],可塑性  the quality of being able?to?be?made?into?different?shapes
65,S2,Q3,lopsided,"[,lɑp'sa?d?d]",不平衡的  uneven?or?unequal
66,S2,Q3,feeble,['fibl],"1.  虚弱的  very?weak
2. inadequate,?inferior"
67,S2,Q3,swift,[sw?ft],迅速的  happening very quickly or without delay
68,S2,Q3,robust,[ro'b?st],"1.  健康的，强健的  strong?and?healthy
2.强有力的  (观点、见解) Robust views or opinions are strongly?held?and?forcefully?expressed."
69,S2,Q3,turbulent,['t?bj?l?nt],"动荡的  full of    confusion,?violence,?or?disorder : not stable or steady"
70,S2,Q4,lavish,['l?v??],"1.  浪费的  expending or bestowing profusely : prodigal
2.  大量的，丰富的  marked by profusion?or?excess"
71,S2,Q4,routinely,[r?'tinli],"例行地;  常规性地  If something is routinely done, it is done as a normal?part?of?a?job?or
process."
72,S2,Q4,vacant,['vek?nt],"1.  空的  not filled, used, or lived in
2.  空缺的  of a job or position : not occupied by a person
3.  茫然的  devoid of thought, reflection, or expression【拓研教育：YunMengZe1020】"
73,S2,Q4,unimpeded,"[,?n?m'pid?d]","未受阻止的;  未受妨碍的  If something moves or happens unimpeded, it continues without
being?stopped?or?interrupted?by anything."
74,S2,Q5,repertoire,['r?p?'twɑr],"全部曲目;  保留剧目  A performer's repertoire is all?the?plays?or?pieces?of?music that he or she
has learned and can perform."
75,S2,Q5,tease apart,[tiz] [?'pɑrt],梳理  disentangle
76,S2,Q5,straightforward,"[,stret'f?rw?d]","1.    易懂的  easy to do or understand : not?complicated??
2.  坦率的  free from evasiveness or obscurity : exact, candid"
77,S2,Q5,augment,[?g'm?nt],"增加  To augment something means to make?it?larger,?stronger,?or?more?effective by adding
something to it."
78,S2,Q5,ameliorate,[?'mil??'ret],"改善，减轻  to make?better,?less?painful, etc"
79,S2,Q5,anticipate,[?n't?s?'pet],"1.  预期/料  to expect that sth will happen and be?ready?for?it
2.  期待(好事）to think about sth good that is gonna happen.
3.  先于…之前(做) to do sth before sb else :?forestall,?prevent"
80,S2,Q6,ironic,[a?'rɑn?k],"讽刺的    using words that mean the opposite?of?what?you?really?think especially in order to
be funny"
81,S2,Q6,honorific,['ɑn?'r?f?k],尊敬的  showing    respect?or?honour to someone
82,S2,Q6,malign,[m?'la?n],"1. adj.  有害的  causing or intended to cause?harm
2. v.  诽谤，中伤  to say?bad?things about someone or something publicly : to criticize
someone or something harshly or unfairly"
83,S2,Q6,negotiate,[n?'ɡo??et],"1.  谈判  If people negotiate with each other or negotiate an agreement, they talk?about?a problem?or?a?situation such as a business arrangement in order to solve the problem or complete the arrangement.
2.  成功越过  If you negotiate an area of land, a place, or an obstacle, you successfully?travel
across it or around it."
84,S2,Q6,compromise,['kɑmpr?ma?z],"1.  妥协，放弃  to give?up something that you want in order to reach an agreement
2.  危害  to damage?or?weaken something"
85,S2,Q7,disclose,[d?s'kloz],公开，揭露  to make something known?to?the?public
86,S2,Q7,brook,[br?k],容忍，允许  to allow something to exist or happen
87,S2,Q7,repudiate,[r?'pjud?et],拒绝，驳斥  to refuse?to?accept?or?support something : to reject something or someone
88,S2,Q7,regurgitate,[r?'ɡ?d??tet],"1.  反刍  to bring food that has been swallowed back to and out of the mouth
2.  重申观点  to repeat?something, such as a fact, idea,etc without understanding it"
89,S2,Q8,beneficence,[b?'nef?s?ns],善行;  慈善  the act of doing good;?kindness
90,S2,Q8,altruism,['?ltru?z?m],利他主义  Altruism is unselfish concern for other people's happiness and welfare.
91,S2,Q9,sanguinity,[s?n'ɡw?n?ti],自信  confident and hopeful
92,S2,Q9,verisimilitude,"[,ver?s?'m?l?tju?d]",逼真  the quality of seeming?to?be?true?or?real
93,S2,Q10,cordiality,[k?r'd??l?ti],真诚  sincere affection and kindness
94,S2,Q10,irascibility,"[?,r?s?'b?l?ti]",易怒  becoming?angry?very?easily : having a bad temper
95,S2,Q10,conviviality,"[k?n,v?v?'?l?ti]","欢乐，友好  of or relating to social events where people can eat, drink, and talk in a friendly
way with others"
96,S2,Q10,diffident,['d?f?d?nt],缺乏自信的  lacking?confidence : not feeling comfortable around people
97,S2,Q10,exasperation,"[?g,z?sp?'re?(?)n]",愤怒  the state of being very annoyed?or?upset
98,S3,Q1,stunning,['st?n??],"1.  震惊的  very surprising?or?shocking
2.  极好的  very beautiful?or?pleasing"
99,S3,Q1,contemptuous,[k?n't?mpt?u?s],心怀蔑视的  feeling or showing deep?hatred?or?disapproval : feeling or showing contempt
100,S3,Q1,decry,[d?'kra?],"谴责，批评  to say publicly and forcefully that you regard something as bad,?wrong,etc."
101,S3,Q1,boast,[bost],"吹嘘  If someone boasts about something that they have done or that they own, they talk about?it?very?proudly, in a way that other people may find irritating or offensive."
102,S3,Q1,downplay,"[,da?n'ple]",不予重视  to make something seem smaller?or?less?important
103,S3,Q2,subtle,['s?tl],"1.不易察觉的  hard to notice or see : not obvious
2.  难以理解的  difficult to understand or perceive : obscure
3.  狡猾的  ??clever?and?indirect?: not showing your real purpose
4.  敏感的，有洞察力的  having or showing skill at recognizing and understanding things that
are not obvious"
104,S3,Q2,explicable,[?k'spl?k?bl],能解释的??possible?to?explain
105,S3,Q2,inconsequential,[?n'kɑns?'kw?n??l],不重要的;  微不足道的;  无足轻重的  not?important
106,S3,Q3,objective,[?b'd??kt?v],客观的  based on facts rather than feelings or opinions : not?influenced?by?feelings
107,S3,Q4,incinerator,[?n's?n?ret?],"垃圾焚化炉  An incinerator is a special large container for burning waste at a very high
temperature."
108,S3,Q4,loath,[loθ],不情愿的??unwilling?to do something : reluctant
109,S3,Q5,emulate,['?mjulet],"（因为 admire）而竭力模仿（以便赶上/超过) strive to equal or excel by imitating ,especially
because you admire sb"
110,S3,Q5,discredit,[d?s'kr?d?t],"1.  使…不可信  to refuse to accept as true or accurate : disbelieve
2.  使…丢脸  to deprive of good repute : disgrace"
111,S3,Q5,authentic,[?'θ?nt?k],真实的，真正的??real?or?genuine : not copied or false
112,S3,Q5,aesthetics,[?s'θ?t?ks],美学  Aesthetics is a branch of philosophy concerned with the study of the idea of beauty.
113,S3,Q6,ambivalence,[?m?b?v?l?ns],"矛盾  simultaneous and contradictory?attitudes or feelings as attraction and repulsion
toward an object, person, or action"
114,S3,Q6,compliment,[?kɑmpl?m?nt],"赞美  an expression of esteem, respect, affection, or admiration; especially : an admiring
remark"
115,S3,Q6,censure,[?s?n??],谴责，批评  to officially criticize someone or something strongly and publicly
116,S3,Q6,demanding,[d??m?nd??],"费力的;  费时的  requiring much time, effort, or attention : exacting"
117,S3,Q6,sift from,[s?ft] [fr?m],筛选  to go through something very carefully in order to find something useful or valuable
118,S3,Q6,overshadow,[?o?v?r???do?],"1.  使〔别的人或事〕显得较不重要，使相形见绌[黯然失色]to make someone or something else seem less important
2〔.   因使人感到难过或忧虑而〕给〔某一场合或某段时间〕蒙上阴影  to make an occasion or period of time less enjoyable by making people feel sad or worried
3. 〔高楼、高山等〕遮蔽，遮挡〔周围某处〕if a tall building, mountain etc overshadows a place, it is very close to it and much taller than it"
119,S3,Q6,manageable,[?m?n?d??bl],易控制的，易处理的??easy?to?control?or?deal?with
120,S3,Q7,neophyte,[?ni?fa?t],新手  a person who has just started learning or doing something : novice
121,S3,Q7,novice,[?nɑv?s],"新手  a person who has just started learning or doing something : beginner,?tyro"
122,S3,Q7,pragmatist,[?pr?ɡm?t?st],实用主义者  a practical?approach to problems and affairs
123,S3,Q7,zealot,[?zel?t],"(尤指政治或宗教的)狂热分子;  极端分子  If you describe someone as a zealot, you think that their views and actions are very?extreme, especially in following a particular political or
religious belief."
124,S3,Q8,maze,[mez],"1.  迷宫  a confusing intricate network of passages or paths
2.  错综复杂的事物  something confusingly?elaborate?or?complicated"
125,S3,Q8,labyrinth,[?l?b?r?nθ],"1.  迷宫     a place that has many confusing paths or passages
2.  错综复杂的事物  something that is extremely?complicated?or?difficult?to?understand"
126,S3,Q8,elicit,[??l?s?t],"引出，得出  to get a response, information, from someone"
127,S3,Q8,intricate,[??ntr?k?t],"1.  复杂精细的  having many complexly interrelated parts or elements : complicated??
2.  复杂的     difficult to resolve or analyze"
128,S3,Q8,extensive,[?k?st?ns?v],广泛的，广阔的，大量的  large?in?size?or?amount : very full or complete
129,S3,Q8,convoluted,[?kɑ?nv?lu?t?d],"晦涩的;  复杂的  very complicated and difficult to understand : involved,?intricate"
130,S3,Q8,prevalent,[?pr?v?l?nt],"普遍的，广传的  accepted, done, or happening often or over a large area at a particular time :
common?or?widespread"
131,S3,Q9,validity,[v??l?d?ti],"可信性  The validityof something such as a result or a piece of information is whether it can
be?trusted?or?believed."
132,S3,Q9,novelty,[?nɑvlti],"新奇  the quality of being different, new, and unusual : novel"
133,S3,Q10,culinary,[?k?l?neri],烹调的  Culinary means concerned with cooking.
134,S3,Q10,unprecedented,[?n?pr?s?d?nt?d],史无前例的  not?done?or?experienced?before
135,S3,Q10,unwarranted,[?n?w??r?nt?d],"无根据的     If you describe something as unwarranted, you are critical of it because there is
no?need?or?reason for it."
136,S3,Q10,groundless,[?ɡra?ndl?s],没有根据的  not based on facts
137,S3,Q10,promising,[?prɑm?s??],有望成功的;  前景很好的  likely to succeed or to be good : full of promise
138,S3,Q10,novel,[?nɑ?vl],新颖的，新奇的  new?and?different from what has been known before
139,S4,Q1,detritus,[d??tra?t?s],"残余物  Detritus is the small pieces of rubbish or waste material that remain after an event
has finished or when something has been used."
140,S4,Q1,supposition,[?s?p??z???n],"假设;  猜想  an idea or theory that you believe is true even though you do not have proof :
hypothesis"
141,S4,Q1,motley,[?mɑ?tli],"1.  杂色的  variegated in color
2.  混杂的  composed of diverse often incongruous elements"
142,S4,Q2,anomalous,[??nɑm?l?s],"反常的    not expected or usual :?irregular,?unusual"
143,S4,Q2,haphazard,[?h?ph?z?d],"杂乱无章的;  无计划的  having no plan, order, or direction :?random"
144,S4,Q2,monolithic,[?m?n??l?θ?k],"1.  巨大的  huge,?massive
2.  整体的，单个的     formed from a single crystal"
145,S4,Q2,mar,[mɑr],破坏  to spoil or damage it : spoil
146,S4,Q3,compassionate,[k?m?p???n?t],"有同情心的;  表示同情的  feeling    or showing concernfor someone who is sick, hurt, poor,
etc. : sympathetic"
147,S4,Q3,nepotistic,"[,nep?'tistik]","任人唯亲的  the unfair practice by a powerful person of giving jobs and other favors to
relatives"
148,S4,Q3,grandstanding,[?ɡr?nst?nd],"哗众取宠     Grandstanding means behaving in a way that makes people pay attention to you
instead of thinking about more important matters."
149,S4,Q3,partisanship,[?pɑ?t?z?n??p],"盲目支持/偏袒  Partisanship is support?for?a?person?or?group?without?fair consideration of the
facts and circumstances: partiality"
150,S4,Q3,vacillation,[?v?s??le??n],"犹豫不决，踌躇  inability to take a stand : irresolution,?indecision"
151,S4,Q4,futile,[?fj?ta?l],无用的，无效的  having no result or effect : pointless?or?useless
152,S4,Q4,contagious,[k?n?ted??s],"1.  会传染的  having a sickness?that?can?be?passed to someone else by touching
2.  有感染力的  capable of being easily?spread?to?others : causing other people to feel or act in a similar way"
153,S4,Q4,initially,[??n???li],最初地  occurring at the beginning of something  ：  incipient
154,S4,Q4,irk,[?k],使···生气;  使···烦恼  to bother?or?annoy someone
155,S4,Q4,immerse,[??m?s],"1.使专心于    If you immerse yourself in something that you are doing, you become completely?involved?in it.
2.  使浸没  If something is immersed in a liquid, someone puts it into the liquid so that it is
completely covered."
156,S4,Q5,flippancy,[?fl?p?nsi],轻率无礼       lacking proper respect or seriousness：  levity，frivolity
157,S4,Q5,tendentious,[ten?den??s],有偏见的，有倾向的  marked by a tendency in favor of a particular point of view :?biased
158,S4,Q5,discursion,[d?s'k????n],漫谈离题     moving from topic to topic without order : rambling
159,S4,Q6,complicate,[?kɑmpl?ket],使复杂化  to make something more difficult or less simple : involve
160,S4,Q6,comprehend,[?kɑmpr??h?nd],理解  understand
161,S4,Q6,blemish,[?blem??],小缺点，小瑕疵  to spoil?by?a?flaw
162,S4,Q6,allure,[??l?r],引诱  to entice by charm or attraction
163,S4,Q6,valid,[?v?l?d],"1.  有根据的  fair or reasonable
2.  合法的  accepted?according?to?the?law"
164,S4,Q6,frank,[fr??k],"坦白的，直率的  marked by free, forthright,?and?sincere expression"
165,S4,Q6,inveterate,[?n?v?t?r?t],"1.根深蒂固的  firmly?established long persistence
2.  习惯性的  confirmed in a habit : habitual"
166,S4,Q6,exigency,[??ks?d??nsi],紧急  a state of affairs that makes urgent?demands
167,S4,Q7,paradigm,[?p?r??da?m],"范例  example,?pattern; especially : an outstandingly clear or typical example or archetype"
168,S4,Q7,hodgepodge,[?hɑd?pɑd?],大杂烩  a mixture of different things
169,S4,Q7,patchwork,[?p?t??w?k],大杂烩  something composed of miscellaneous or incongruous parts : hodgepodge
170,S4,Q7,fractiousness,['fr?k??snis],"易怒，暴躁  full of anger and disagreement : irritable,?quarrelsome"
171,S4,Q8,insightful,[??nsa?tf?l],有深刻见解的  having or showing a very clear?understanding of something
172,S4,Q8,affable,[??f?bl],和蔼的，友善的  friendly and easy to talk to
173,S4,Q8,sagacious,[s??ɡe??s],"睿智的  having or showing an?ability?to?understand?difficult?ideas and situationsand to make
good decisions"
174,S4,Q10,overarching,[?o?v?r?ɑ?rt???],"1.  包罗万象的  including or influencing every?part?of?something
2.  首要的；支配一切的  dominating or embracing all else"
175,S4,Q10,consistent,[k?n?s?st?nt],始终如一的  always acting or behaving in the same way
176,S4,Q10,intriguing,[?n?tri?ɡ??],有趣的  extremely interesting
177,S4,Q10,heterogeneous,[?h?t?r??d?in??s],由不同成分形成的  made up of parts that are different
178,S4,Q10,disparate,[?d?sp?r?t],"迥然不同的  containing or made up of fundamentally?different and often incongruous
elements"
179,S4,Q10,mediocre,[?mid??ok?],"普通的，平凡的  of moderate or low quality, value, ability, or performance : ordinary"
180,S4,Q10,engaging,[?n?ɡed???],迷人的  very attractive?or pleasing in a way that holds your attention
181,S5,Q1,controversial,[?kɑntr??v??l],"有争议的  relating to or causing much discussion, disagreement, or argument"
182,S5,Q1,enigmatic,[?en?ɡ?m?t?k],神秘难解的  full of mystery and difficult?to?understand
183,S5,Q1,cherished,[?t?er??],珍爱的  to feel or show great?love for someone
184,S5,Q2,unconscious,[?n?kɑn??s],未意识到的  not?aware?of something
185,S5,Q2,mutually,[?mjut?u?li],相互地  shared between two or more people or groups
186,S5,Q2,reinforce,[?ri?n?f?rs],"加强  to strengthen by additional assitance, material, or support : make stronger or more
pronounced"
187,S5,Q2,inverse,[??n?v?s],"相反的  opposite in order, nature, or effect"
188,S5,Q2,unfeeling,[?n?fi?l??],"1.  无同情心的  lacking kindness or sympathy : hardhearted????
2.  无感觉的  devoid of feeling : insensate"
189,S5,Q2,disingenuous,[?d?s?n?d?enju?s],"不真诚的  dishonest?and?insincere : giving a false appearance of simple frankness :
calculating"
190,S5,Q3,benign,[b??na?n],"和善的??kind,?gentle,?and?harmless"
191,S5,Q3,orthodox,[??rθ?dɑks],"1.  正统的  accepted as true or correct by most people : supporting or believing what most people think is true
2.  传统的??traditional"
192,S5,Q3,embody,[?m?bɑdi],"1.  体现;  具体象征  to represent something in a clear and obvious way : to be a symbol or example of something
2.  包含;  收录  to?include something as apart or feature"
193,S5,Q4,nothing if not,[?n?θ??] [?f] [nɑt],极其  ：  very
194,S5,Q4,forbear,[f?r?b?r],忍住  to choose?not?to?do something that you could do : to avoid doing or saying something
195,S5,Q4,chivalrous,[???v?lr?s],骑士精神的，绅士的  behaving in an honorable or polite way especially toward women
196,S5,Q4,impetuous,[?m?pet?u?s],"冲动的  acting or done?quickly?and?without?thought : controlled by emotion rather than
thought"
197,S5,Q4,boorish,[?b?r??],"粗俗的;  粗鲁的  rough,?uneducated,?and?rude"
198,S5,Q4,circumspect,[?s??rk?mspekt],谨慎小心的  careful to consider all circumstances and possible consequences : prudent
199,S5,Q4,spontaneous,[spɑn?ten??s],(人)天真率直的（褒义);     (sth)自发的，自然而生的     done or said in a natural and sudden way and without?a?lot?of?thought?or?planning  ：  instinctive，??involuntary
200,S5,Q5,disorienting,[d?s???rient],困惑的  to make someone lost?or?confused
201,S5,Q5,humble,[?h?mbl],"1.  谦虚的  not proud or haughty : not?arrogant or assertive
2.(社会地位)  低下的  ranking low in a hierarchy or scale : insignificant,?unpretentious 3.?not?costly?or?luxurious"
202,S5,Q5,empower,[em'pa?r],"1.  授权  If someone is empowered to do something,they have the?authority?or?power to do it:?authorize
2.  使能够  To empower someone means to give them the means to achieve something,for
example,to become stronger or more successful:enable"
203,S5,Q5,discern,[d??s?n],识别  to recognize?or?identify?as separate and distinct : discriminate
204,S5,Q5,intent,[?n?t?nt],目的，意图     the thing that you plan to do or acieve : an aim?or?purpose
205,S5,Q5,surrender,[s??r?nd?],"投降;  屈服  to agree to stop fighting, hiding, resisting, etc., because you know that you will
not win or succeed : yield"
206,S5,Q5,glean,[ɡlin],慢慢地收集  to gather?or?collect something in a gradual way
207,S5,Q5,imitate,[??m?tet],"1.  模仿  to make or do something the same way as something else
2. mimic, counterfeit"
208,S5,Q6,calamitous,[k??l?m?t?s],灾难的  causing great?harm?or?suffering
209,S5,Q6,exotic,[?ɡ?zɑt?k],"(常因来自遥远的他国而显得)  奇异的  very different,?strange,?or?unusual
2.外来的    introduced from another country : not?native to the place where found"
210,S5,Q6,vulnerable,[?v?ln?r?bl],"1.  易受伤害的  easily?hurt?or?harmed physically mentally, or emotionally
2.  易受攻击  open to attack, harm, or damage : assailable"
211,S5,Q6,obligatory,[??bl?ɡ?t?ri],强制的，义务的  required by a law or rule : mandatory
212,S5,Q7,diametrically,"[,da??'m?tr?kli]",截然地  completely?opposed : being at opposite extremes
213,S5,Q7,adversarial,[??dv??s?r??l],对立的  involveing two people or sides who oppose each other
214,S5,Q7,antagonistic,[?n?t?ɡ??n?st?k],敌对的  showing?dislike?or?opposition : showing antagonism
215,S5,Q8,dichotomous,[da?'kɑt?m?s],分成两部分的  dividing?into?two?parts
216,S5,Q8,untenable,[?n?ten?bl],(论据等）站不住脚的；not capable of being    defended against criticism or attack
217,S5,Q8,contradictory,[?kɑntr??d?kt?ri],"(事实、观点、陈述等)  相互矛盾的  involving or having information that disagrees?with each
other information : containing a contradiction"
218,S5,Q8,subversive,[s?b?v?s?v],"颠覆性的  Something that is subversive is intended to weaken?or?destroy?a?political?system?or
government."
219,S5,Q8,adduce,[??du?s],"举出(理由，例子等) to cite (reasons, examples, etc) as evidence or proof    to support an
argument"
220,S5,Q8,myriad,[?m?ri?d],大量  a very large?number of things
221,S5,Q9,minimal,[?m?n?m?l],最小的  very small?or?slight in size or amount
222,S5,Q9,trifling,[?tra?fl??],微不足道的  small?and?unimportant
223,S5,Q9,marked,[mɑrkt],显著的  very noticeable
224,S5,Q9,conspicuous,[k?n?sp?kj??s],显眼的  very?easy?to?see?or?notice
225,S5,Q9,intriguing,[?n?tri?ɡ??],有趣的  extremely interesting
226,S5,Q9,deleterious,[?del??t?ri?s],有害的  damaging?or?harmful
227,S5,Q10,crushing,[?kr????],"毁灭性的  A crushing defeat, burden, or disappointment is a very great?or?severe one."
228,S5,Q10,hazardous,[?h?z?d?s],危险的  involving risk?or?danger
229,S5,Q10,momentous,[mo?m?nt?s],"重要的  important?,?consequential"
230,S5,Q10,trivial,[?tr?v??l],不重要的??not?important
231,S5,Q10,precarious,[pr??k?r?r??s],"(情况)不稳定的，危险的  If your situation is precarious, you are not in complete control of events and might fail in what you are doing at any moment."
232,S5,Q10,inconsequential,[?n?kɑ?ns??kwen?l],不重要的??not?important
233,S6,Q1,discriminatory,[d??skr?m?n?t??ri],"歧视性的，差别对待的  not?fair : unfairly treating a person or group of people differently from
other people or groups of people"
