序号,单词,音标,释义
75,narcissism,[?nɑ?   rs?s?z?m],自我陶醉;  自恋  Narcissism is the habit of always thinking?about?yourself?and?admiring?yourself.
76,indolence,[??nd?l?ns],懒惰     laziness
77,identifiable,[a??d?nt??fa??bl],可识别的，  可辨认的  able to be recognized
78,balloon,[b??lun],"(数量上)  猛增  When something balloons, it increases rapidly in amount."
79,collude,[k??lu?   d],"1.(秘密或非法地)  串通  If one person colludes with another, they  cooperate with them secretly  or illegally.
2.与某人/某机构密谋（做某事）  to?collude?with?[somebody]/[something]?(in?doing?[something])"
80,self-styled,['self'staild],自封的，自诩的〔含贬义〕  having given yourself a title or position without having a right to it
81,surrogate,[?s??   r?ɡ?t],替代的，代理的  a surrogate person or thing is one that takes the place of sb or sth else
82,erstwhile,[???   rstwa?l],从前的  a while before : formerly
83,proxy,[?prɑ?   ksi],"1.代理（人）的；代表的；代替的  involving the use of a proxy
2.  由委托人代理  if you do something by?proxy, you arrange?for?someone?else?to?do?it?for?you
3.  〔由个人委托的〕代理人，代表〔尤指代人投票〕   [+  for  ]  someone  who  you  choose  to  represent  you,
especially to vote for you"
84,imperturbable,[??mp?r?t??   rb?bl],"沉着的;   冷静的   If  you  describe  someone  as  imperturbable,  you  mean  that  they  remain  calm,  even  in
disturbing or dangerous situations."
85,glum,[ɡl?m],"闷闷不乐的   Someone  who  is  glum  is  sad  and  quiet  because  they  are  disappointed  or  unhappy  about
something.  ：sullen，??dreary，??gloomy，depressed"
86,irresolute,[??rez?lu?   t],犹豫不决的  unable to decide what to do : uncertain
87,prevaricate,[pr??v?r?ke?t],"(以欺骗为目的）含糊其辞地说     to avoid telling the truth by not directly answering a question : equivocate?,
lie.????    Tell us exactly what happened and don't prevaricate .    有什么就详详细细地告诉我们，不要支吾。"
88,avarice,[??v?r?s],贪婪     Avarice is extremely strong desire for money and possessions.
89,exigent,[?eks?d??nt],紧急的;  急需的    urgent; pressing
90,implicate,[??mpl?ket],"表明   (某人)  与   (坏事)  有牵连     to  show  or  suggest  that  sb／sth  is  closely  connected  to  or  involved insth scuh as a crim
Three police officers are implicated in the cover-up.  三名警察涉嫌隐瞒事实
The  evidence  implicated  many  government  officials  in  the  conspiracy  =  the  evidence  showed  that  many
government officials were involved in the conspircy ."
91,untenable,[?n?ten?bl],"不堪一击的  (观点、理论或立场)     An argument,  theory, or position that is untenable cannot be defended
successfully against criticism or attack."
92,at odds with,[?t; ?t] [ɑdz] [w??],"1.  (与某人)  意见不一致，有分歧     If  someone  is at  odds  with someone  else,  or  if  two  people are  at  odds, they are disagreeing or arguing with each other
2.  说法、描述、行为等〕不一致  if two statements, descriptions, actions etc are at odds with each other, they
are different although they should be the same"
93,bungle,[?b??ɡl],"把...  搞砸/笨手笨脚地做  If you bungle something, you?fail?to?do?it?properly, because you make mistakes or
are clumsy.:     botch,?????????mishandle"
94,unpretentious,[??npr??t?n??s],"朴实无华，不炫耀的；谦逊的       free from ostentation ,elegance, or affectation :  ????artless,???????natural"
95,makeshift,[?me?k??ft],"权宜之计(的)，临时代用（的）  made to be used for a short  time only  when nothing better is available  ：
substitute，resource，??expedient，??stopgap"
96,prime,[pra?m],"使准备好〔应付某一情况〕  to prepare?someone?for?a?situation so that they know what to do.?prime?sb?with
sth。
主要的  You use prime to describe something that is most important in a situation."
97,indefatigable,[??nd??f?t?ɡ?bl],"不知疲倦的;   不屈不挠的    You  use  indefatigable  to  describe  someone  who??never??gets??tired??of??doing
something."
98,defiant,[d??fa??nt],违抗的;  不服的  refusing to obey sth or sb：  ??contumacious，disobedient，obstreperous，??refractory
99,ebullient,[??b?li?nt],精力充沛的;  热情洋溢的     lively and enthusiastic
100,solicitous,[s??l?s?t?s],"担心的，挂念的，关心的  (about，  for) showing concern?or?care?for?sb's?health,?happiness"
101,peripheral,[p??r?f?r?l],"次要的   A  peripheral  activity  or  issue  is  one  that  is  not  very  important  compared  with  other  activities  or
issues."
102,overweening,[?o?v?r?wi?   n??],"1.自负的，自以为了不起的；过分自信的  too confident or proud .         ??arrogant,?presumptuous?,?conceited???
2.夸大了的；过分的  excessive and unpleasant :?immoderate,?exaggerated"
103,forgery,[?f?rd??ri],"1.伪造品  something that is falsely made or copied in order to deceive people : something that is forged. Invention，sham，counterfeit
2.  伪造(罪)the crime of falsely making or copying a document in order to deceive people"
104,vintage,[?v?nt?d?],"1.旧式的，老式的〔但品质优良〕  old, but high quality
2.最好的；最典型的 showing all the best or most typical qualities of something
3.旺年，好年[+ for ] vintage year     a year when something of very good quality was produced"
105,integrative,[??nt?gre?t?v],综合的，一体化的  tending to consolidate  ；combining and coordinating diverse elements into a who
106,mortify,[?m?rt?fa?],使深感窘迫[丢脸]    cause someone to feel extremely embarrassed or ashamed
107,coalesce,[?ko???les],"合并 if two or more things coalesce, they come together and form a larger group or system."
108,incense,[??ns?ns],使某人十分愤怒       to make sb very angry
109,heterodox,[?h?t?r??dɑks],"(信仰、意见或思想)异端的;  离经叛道的;  异教的  Heterodox beliefs, opinions, or ideas are different from the
accepted or official ones"
110,invaluable,[?n?v?lj??bl],"非常宝贵的  If you describe something as invaluable, you mean that it is extremely useful."
111,coerce,[ko????   rs],"胁迫     If you coerce someone into doing something, you make them do it, although they do not want to."
112,voluntary,[?vɑl?nt?ri],"自愿的   Voluntary  actions  or  activities  are  done  because  someone  chooses  to  do  them  and  not  because
they have been forced to do them."
113,kindred,[?k?ndr?d],alike or similar；  closely related
114,keep abreast of,[kip] [??br?st] [?v],"及时了解     If you keep abreast of a subject, you know all the most recent facts about it."
115,premonitory,[pr??m?n?t?ri],"预 先  警 告 的     giving   a   warning   that   sth   unpleasant   is   going   to   happen:???exemplary???,???admonitory,
admonishing"
116,debacle,[de??bɑ?   kl],彻底失败  A debacle is an event or attempt that is a complete failure.
117,bucolic,[bju?   ?kɑ?   l?k],乡村的;  田园的  Bucolic means relating to the countryside.
118,redemption,[r??d?mp??n],"1〔基督教指耶稣的〕救赎，赎罪  the state of being freed from the power of evil, believed by Christians to be made possible by Jesus Christ
2 兑换；兑现  the act of exchanging a piece of paper worth a particular amount of money for money, goods,
or services"
119,relentless,[r??l?ntl?s],"1.〔不愉快的事〕不间断的，没完没了的  something bad that is relentless continues without ever stopping or getting less severe       。
2.坚持不懈的   Someone  who  is  relentless  is  determined  to  do  something  and  refuses  to  give  up,  even  if
what they are doing is unpleasant or cruel.     ：??dogged，??unyielding，??unrelenting"
120,fiasco,[f???sko],"彻底的失败     If you describe an event or attempt to do something as a fiasco, you are emphasizing that it
fails completely."
121,ascertain,[??s??ten],"( 尤指经过努力)   查明      If  you  ascertain  the  truth  about  something,  you??find??out??what??it??is,??especially??by
making?a?deliberate?effort?to?do?so."
122,woo,[wu],向(女子)求爱；向(女子)求婚：court
123,irksome,[??ks?m],"烦人的;  讨厌的     If something is irksome, it irritates or annoys you."
124,pivotal,[?p?v?tl],关键的  being of crucial importance
125,morbid,[?m?rb?d],"〔兴趣〕病态的，不健康的；〔尤指〕对死亡着迷的  with a strong and unhealthy interest in unpleasant subjects,
especially death"
126,mores,[?m??   re?z],"习俗;   惯例   The  mores  of  a  particular  place  or  group  of  people  are  the  customs  and  behaviour  that  are
typically found in that place or group."
127,undoing,[?n?du??],"失败的原因  If something is someone's undoing, it is the cause of their failure."
128,burrow,['b?ro],"1.  掘洞；钻洞 to make a hole or passage in the ground
2.  寻找，翻找  to search for something that is hidden in a container or under other things :?rummage"
129,clangor,[?kl???],铿锵声    A clangour is a loud or harsh noise.
130,exact,[?ɡ?z?kt],"强要，勒索  【正式】to demand and get something from someone by using threats, force etc formal
exact sth from sb"
131,conspire,[k?n?spa??],"1.合谋   If  two  or  more people  or  groups?conspire?to??do??something??illegal??or??harmful,  they  make  a  secret agreement to do it.
2.协同  If events?conspire?to?produce?a?particular?result, they seem to work together to?cause?this?result."
132,untapped,[??n?t?pt],(供给、资源)未利用的     An untapped supply or source of something has not yet been used.
133,contumacious,[?kɑ?   ntu?me???s],反抗权威的;  任性顽固的  stubbornly resistant to authority; wilfully obstinate
134,canonize,[?k?n??na?z],1.追封为圣徒  to officially state that a dead person is a saint.
135,retrofit,[?retro?f?t],对(机器)更新部件;  对(建筑物)进行翻新
136,industrious,[?n?d?str??s],"勤奋的  If you describe someone as industrious, you mean they work very hard."
137,defect,[‘d?f?kt],"1.缺陷       A defect is a fault or imperfection in a person or thing.
2.背 叛       If  you  defect,  you  leave  your  country,  political  party,  or  other  group,  and  join  an  opposing
country, party, or group."
138,importune,[??mp??   r?tu?   n],"纠缠;  向...强求     If  someone  importunes  another  person,  they  ask them  for something  or  ask  them  to  do
something, in an annoying way."
139,surly,[?s??   rli],粗暴的  Someone who is surly behaves in a rude bad-tempered way.
140,crumble,[?kr?mbl],"1 .碎裂;  弄碎       If something crumbles, or if you crumble it, it breaks into a lot of small pieces.
2.(制度、关系或希望)  崩溃   If  something  such  as a  system,  relationship,  or hope  crumbles,  it  comes to  an
end."
141,scuffle,[?sk?fl],"打斗;  混战  A scuffle is a short,?disorganized?fight or struggle：  tussle"
142,rhapsody,[?r?ps?di],"1.an expression of eager and excited approval formal  赞美之词，热情赞颂  【正式】
2.a piece of music that is written to express emotion, and does not have a regular form  狂想曲"
143,inestimable,[?n??st?m?bl],"无法估计的;  极贵重的     If you describe the value, benefit, or importance of something as inestimable, you
mean that it is extremely great and cannot be calculated."
144,hypocrite,[?h?p??kr?t],"伪君子      If  you  accuse  someone  of  being  a  hypocrite,  you  mean  that  they  pretend  to  have  qualities,
beliefs, or feelings that they do not really have."
145,adulator,"['?d??,let?]",奉承(或谄媚)的人
146,braggart,[?br?ɡ?rt],吹牛者  a person who boasts loudly or exaggeratedly; bragger
147,quandary,[?kwɑ?   nd?ri],"左右为难的窘境  If you are in a quandary, you have to?make?a?decision?but?cannot?decide?what?to?do."
148,fixate,[?f?kse?t],"1.集中(目光、注意力等) pay attention to exclusively and obsessively
2.  (使)固定     to become or cause to become fixed"
149,substantive,[s?b?st?nt?v],"实质的，真实的  dealing with things that are important or real：
They plan to meet again in Rome very soon to begin substantive negotiations.  他们计划很快在罗马再次会
面以开始实质性的谈判。"
150,currency,[?k??nsi],接受       the quality or state of?being?used?or?accepted?by many people
151,observe,[?b?z?v],"1.遵从  If you observe something such as a law or custom, you obey it or follow it.
2.  庆祝     If  you  observe  an  important  day  such  as  a  holiday  or  anniversary,  you  do  something  special  in
order to honour or celebrate it."
152,check,[t??k],"抑制  To check something, usually something bad, means to stop it from spreading or continuing."
153,register,[?r?d??st?],"1.(在仪表上)  显示 When something registers on a scale or measuring instrument, it shows on the scale or instrument.
2.  (面部表情)  流露   If a feeling registers on someone's  face, their  expression shows  clearly  that they  have
that feeling."
154,affected,[??f?kt?d],做作的  not natural  ：  artificial，  bogus，  contrived
155,disaffected,[?d?s??fekt?d],（对政府，领导）  不满的??discontented?and?resentful?especially?against?quthority
156,demonstrative,[d??mɑ?   nstr?t?v],感情外露的  Someone who is demonstrative shows affection freely and openly.
157,unscrupulous,[?n?skrupj?l?s],"不诚实的;   不道德的   if  you  describe  a  person  as  unscrupulous,  you  are  critical  of  the  fact  that  they  are
prepared to act in a dishonest?or?immoral?way?in order to get what they want."
158,imposing,[?m?poz??],"给 人 印象 深 刻 的       If  you  describe  someone  or  something  as  imposing,  you  mean  that  they  have  an
impressive appearance or manner."
159,provident,[?prɑv?d?nt],"顾及未来的，未雨绸缪的，深谋远虑的     careful and sensible in the way you plan things, especially by saving
money for the future：  frugal，  saving，  sparing  ，scrimping"
160,stock,[stɑk],"(回答、表达或做事方式)  老一套的  A stock answer, expression, or way of doing something is one that is?very
commonly?used, especially because people cannot be bothered to think of something new."
161,bohemian,[bo??hi?   mi?n],反传统陈规的 unconventional in especially appearance and behavior
162,penetrating,[?p?n?tret??],有洞察力的，思维敏锐的  showing an ability to understand?things?quickly?and?completely
163,affecting,[??f?kt??],令人感动的；引起同情的  causing a feeling of sadness or sympathy
164,coin,[k??n],"创造  (新词语) If you coin a word or a phrase, you are the first person to say it."
165,dilettante,[?d?l??t?nti],"( 尤指艺术方面的) 浅薄涉猎者   You  can  use  dilettante  to  talk  about  someone  who  seems  interested  in  a
subject, especially in art, but who does not really know very much about it.    ：??dabbler??，amateur"
166,bigoted,[?b?ɡ?t?d],"固执己见的，顽固不化的   having  such??strong??opinions  about  a  group  of  people  that  you  are unwilling  to
listen to anyone else’s opinions"
167,bigot,[?b?ɡ?t],固执己见的人
168,protégé,[?pr??t??e?],门徒  a young person who is taught and helped by someone who has a lot of knowledge and experience
169,guru,[?ɡ?ru?   ],"专家，权威  someone who knows a lot about a particular subject, and gives advice to other people informal"
170,dabbler,[?d?bl?],an?amateur?who engages in an activity without serious intentions and who pretends to have knowledge
171,magnate,[?m?ɡnet],巨头;  大亨  A magnate is?someone?who?has?earned?a?lot?of?money from a particular business or industry.
172,convert,[k?n?v?t],"1.改变信仰   If  someone converts you,  they  persuade you to change your  religious  or political beliefs.  You can also say that someone converts to a different religion.
2.改变信仰者"
173,hedonist,[?hi?   d?n?st],享乐主义者  A hedonist is someone who believes that having?pleasure?is?the?most?important?thing?in?life.
174,philanthropist,[f??l?nθr?p?st],慈善家  A philanthropist is someone who freely gives?money?and?help?to?people?who?need?it.
175,impostor,[?m?pɑ?   st?r],"假冒者;  冒名顶替者  Someone who is an impostor is dishonestly?pretending?to?be?someone?else?in?order
to?gain?an?advantage."
176,misanthrope,[?m?s?nθro?p],one who hates or mistrusts?humankind
177,susceptible,[s??s?pt?bl],"易受… 影响的   If  you  are  susceptible  to  something  or  someone,  you  are  very  likely  to??be??influenced  by
them."
178,contrite,[k?n?tra?t],"悔恨的  If you are contrite, you are?very?sorry because you have done something wrong.  ：??remorseful??
repentant"
179,incendiary,[?n?s?nd??ri],"1.  煽动性的??causing?anger：??inflammatory，??seditious
2.  Incendiary weapons or attacks are ones that?cause?large?fires.  能引起燃烧的"
180,veracious,[v??re???s],一贯诚实的     habitually?truthful?or?honest
181,accessible,[?k?s?s?bl],容易理解的     easy to understand
182,frivolity,[fr??vɑ?   l?ti],"1 .轻浮  a lack?of?seriousness
2.  无聊的事 sth that is unnecessary or silly"
183,penitential,[?pen??ten?l],悔罪的;  忏悔的  Penitential means?expressing?deep?sorrow?and?regret at having done?something?wrong.
184,extricate,[??kstr?ket],"1.使摆脱，使脱离  to?escape from a difficult or embarrassing situation, or to help someone escape
2.解救，救出  to?remove?someone?from?a place in which they are trapped"
185,tamper,[?t?mp?],"干涉;  篡改     If someone tampers with something, they?interfere?with?it or?try?to?change?it when they have
no?right?to?do?so."
186,dodge,[dɑd?],"1〔快速〕躲开，避开，闪开       to move?quickly?to?avoid?someone or something
2.〔故意〕避开，避免〔谈论某事或做某事〕  to deliberately?avoid?discussing?something or doing something"
187,fudge,[f?d?],"1  篡改  to?change?important figures or facts to?deceive?people
2.回避；敷衍；搪塞  to avoid giving exact details or a clear answer about something"
188,crop up,[krɑp] [?p],"意外出现;  突然发生  If something crops up, it?appears?or?happens,?usually?unexpectedly."
189,repercussion,[?rip??k???n],"后果     If an action or event has repercussions, it?causes?unpleasant?things?to?happen some time after th
original action or event."
190,rectify,[?r?kt?fa?],"矫正;  改正  If you rectify something that is wrong, you change it so that it becomes correct or satisfactory."
191,redress,[r??dr?s],"纠正;  补救  If you redress something such as a wrong or a complaint, you do something to correct it or to
improve things for the person who has been badly treated."
192,abridge,[??br?d?],(在保留主要内容之时)精减(或减少)…的篇幅，节略，删去，简写，精简(文章等)：
193,synoptic,[s??nɑpt?k],摘要的，概要的，大纲性的
194,disapprobation,[?d?s??pr??be??n],"〔对不道德的人或事的〕反对，不赞成     disapproval of someone or something because you think they  are
morally wrong"
195,acquisitive,[??kw?z?t?v],贪得无厌的  having a strong desire to own or acquire more things.
196,illiberal,[??l?b?r?l],不开明的，不容言论[行为]自由的  not supporting people’s rights to say or do what they want
197,immutable,[??mjut?bl],永恒的;  永远不变的  Something that is immutable will never change or cannot be changed.
198,misnomer,[?m?s?no?m?r],"误称;   用词不当   If  you  say  that  a  word  or  name  is  a  misnomer,  you  mean  that  it  describes  something
incorrectly."
199,suffrage,[?s?fr?d?],选举权  Suffrage is the right of people to vote for a government or national leader
200,virulent,[?v?r?l?nt],"1.充满仇恨的，恶毒的〔含贬义〕full of hatred for something, or expressing this in a strong way  –  used to show disapproval formal
2.〔毒物〕剧毒的；〔疾病〕迅速致命的  a poison, disease etc that is virulent is very dangerous and affects
people very quickly"
201,benignity,[b??n?gn?t?],仁慈；善举     the quality of being kind and gentle；  a kind act
202,repeal,[r??pi?   l],"撤销;  废止  (法令)    If the government repeals a law, it officially ends it, so that it is no longer valid."
203,populous,[?pɑpj?l?s],人口多的     densely populated
204,malignant,[m??l?gn?nt],"1. 恶 毒 的    If  you  say  that  someone  is  malignant,  you  think  they  are  cruel  and  like  to  cause  harm.
2.恶性的       A malignant tumour or disease is out of control and likely to cause death."
205,schism,[?sk?z?m],"〔组织内由于目标、信仰上的分歧引起的〕分裂；〔尤指基督教的〕教会分裂  the?separation of a group into two groups, caused by a?disagreement about its aims and beliefs, especially in the Christian church"
206,frivolous,[?fr?v?l?s],"1.  不严肃的，草率的??not?serious or sensible, especially in a way that is not suitable for a particular occasion
2〔.  人〕轻浮的〔含贬义〕a frivolous person likes having fun?rather?than?doing?serious?or?sensible?things - used to show disapproval"
207,gawky,[?ɡ??   ki],行动[举止]笨拙的  someone who is gawky moves or behaves in an awkward way  ：??clumsy，ungainly
208,syntactical,[s?n?t?kt?k?l],句法的，依照句法的  of or relating to or conforming to the rules of syntax
209,brandish,[?br?nd??],"〔危险或气势汹汹地〕挥舞〔尤指武器〕  【书面】  to wave something around in a dangerous or threatening
way, especially a weapon"
210,self-righteous,['self'rait??s],"自以为是的  having  or  showing  a  strong  belief  that  your  own  actions,  opinions,  etc.,  are  right  and  other
people's are wrong"
