,,GRE词以类记,
176,concrete,n.混凝土; 具体(或有形)的事物  adj.具体的;有形的;实在的,张红岩：list002
177,strength,n.力量;力气;强度;实力,张红岩：list002
178,dissolve,vt.使溶解；除去；消除,张红岩：list002
179,gallon,n.（液量单位）加仑,张红岩：list002
180,molecule,n.分子,张红岩：list002
181,concentrate,vi.集中；全神贯注 vt.集中；聚集；浓缩,张红岩：list002
182,axis,n.轴;轴线;轴心,张红岩：list002
183,additive,n. 添加剂,张红岩：list002
184,aerial,"adj.空中的, 空气中的",张红岩：list002
185,agglomerate,"vi. vt. 凝聚,结块",张红岩：list002
186,aggrandize,"vt.增大,扩张",张红岩：list002
187,airborne,adj. 空气传播的,张红岩：list002
188,alchemy,n.炼金术,张红岩：list002
189,alkali,n. 碱;,张红岩：list002
190,aloft,"adv. 在空中,在头顶上",张红岩：list002
191,aluminium,n. 铝,张红岩：list002
192,amalgam,n.混合物,张红岩：list002
193,analyze,vt.分析，分解,张红岩：list002
194,apogee,n. 远地点(太阳等距离地球最远的点),张红岩：list002
195,assay,"n. vi. vt. 试验, 测定",张红岩：list002
196,axis,"n.轴(常为虚构之线,如地球轴)",张红岩：list002
197,axle,n.轮轴(连接两个车轮的轴),张红岩：list002
198,band,n.带子；收音机波段,张红岩：list002
199,brake,"n.刹车; vt.减速,阻止",张红岩：list002
200,bromide,n.平庸的人或话; 溴化物,张红岩：list002
201,buoyant,"adj. 有浮力的,快乐的",张红岩：list002
202,calcium,n.钙,张红岩：list002
203,carbohydrate,n. 碳水化合物,张红岩：list002
204,catalyst,"n.催化剂,促使事情发展的因素",张红岩：list002
205,caustic,adj.腐蚀性的;刻薄的; n.腐蚀剂,张红岩：list002
206,celestial,"adj.天体的,天上的",张红岩：list002
207,cement,n. 水泥; 胶粘剂,张红岩：list002
208,chafe,vt.摩擦生热; 擦痛; 激怒,张红岩：list002
209,circuit,n.环行，环行道；线路；电路,张红岩：list002
210,clot,]   n. 凝块 vt. 使凝成块,张红岩：list002
211,coagulant,n. 凝结剂,张红岩：list002
212,coagulate,vi. 使凝结,张红岩：list002
213,combustible,adj. 易燃的; 易激动的,张红岩：list002
214,compost,n. 混合肥料,张红岩：list002
215,compound,n. 复合物;vt. 搀和,张红岩：list002
216,concentrate,"vt. 聚集, 浓缩",张红岩：list002
217,concrete,adj.具体存在的; n.混凝土,张红岩：list002
218,condense,vi. vt. 浓缩,张红岩：list002
219,congeal,"vt. 冻结,凝固",张红岩：list002
220,constellation,"n. 星座,星群",张红岩：list002
221,cord,"n.考得(木材堆的体积单位,等于128立方英尺,3.6246立方米)；绳索",张红岩：list002
222,corrosive,adj.腐蚀性的，腐蚀的，蚀坏的,张红岩：list002
223,cosmic,adj.宇宙的,张红岩：list002
224,cosmos,n. 宇宙,张红岩：list002
225,curdle,"vi. vt. 使凝结,变稠",张红岩：list002
226,decibel,n. 分贝(音量的单位),张红岩：list002
227,decomposition,"n. 分解,腐烂,崩溃",张红岩：list002
228,defoliator,vi.落叶剂,张红岩：list002
229,dehydrate,"vt. 除去水分,脱水",张红岩：list002
230,deleterious,"adj. (对身心)有害的,有毒的",张红岩：list002
231,detergent,adj.净化的; n.清洁剂,张红岩：list002
232,diffuse,"]   vt. 散布,(光等)漫射; adj. 漫射的,散漫的",张红岩：list002
233,dilute,vt. 把(液体)弄稀、弄淡,张红岩：list002
234,disinfectant,n.消毒剂,张红岩：list002
235,dissolve,vt. 使固体溶解,张红岩：list002
236,distill,vi. vt. 蒸馏,张红岩：list002
237,dynamo,n. 发电机,张红岩：list002
238,emollient,n.润肤剂,张红岩：list002
239,empyreal,adj. 天空的,张红岩：list002
240,emulsify,vt. 使乳化,张红岩：list002
241,ethereal,adj. 太空的; 轻巧的,张红岩：list002
242,evaporate,vi. vt. (使某物)蒸发掉,张红岩：list002
243,explosive,n. 炸药; adj. 爆炸性的; 使人冲动的,张红岩：list002
244,fathom,"n.英寻(量水深,等于8米); vi. vt.彻底明白,了解",张红岩：list002
245,ferment,vt. n.使发酵; 骚动,张红岩：list002
246,filter,n.滤纸；vi. vt.过滤,张红岩：list002
247,flammable,adj.易燃的,张红岩：list002
248,friction,"n. 摩擦; 矛盾,冲突",张红岩：list002
249,galaxy,"n. (银河)星群,显赫的人群",张红岩：list002
250,gallon,n. 加仑,张红岩：list002
251,galvanize,vt. 电镀; 通电; 激励,张红岩：list002
252,gasification,n. 气化,张红岩：list002
253,generator,n. 发电机,张红岩：list002
254,germicide,n. 杀菌剂,张红岩：list002
255,gravitational,adj. 万有引力的,张红岩：list002
256,herbicide,n. 除草剂,张红岩：list002
257,hydrate,n. 水化物vt. 水化,张红岩：list002
258,inelasticity,"n. 无弹性,无伸缩性",张红岩：list002
259,ingredient,n.成分,张红岩：list002
260,insecticide,n. 杀虫剂,张红岩：list002
261,insoluble,adj. 不溶解的;不能解决的,张红岩：list002
262,iodine,"n. 碘,碘酒",张红岩：list002
263,leaven,"n. 发酵剂, 影响力; vt. 发酵,影响或改变",张红岩：list002
264,lever,n. 杠杆; vi. vt. 撬动,张红岩：list002
265,liquefy,"vt. 液化,溶解",张红岩：list002
266,lubricant,n. 润滑剂,张红岩：list002
267,lumen,n.流明,张红岩：list002
268,lunar,adj.月亮的,张红岩：list002
269,mechanical,adj.机械的，机械制造的；机械似的，呆板的，体力的,张红岩：list002
270,mechanics,n. 力学,张红岩：list002
271,meteoric,adj. 流星的; 昙花一现的,张红岩：list002
272,metrical,adj.测量的; 韵律的,张红岩：list002
273,molecule,n.分子,张红岩：list002
274,molten,adj.熔化的,张红岩：list002
275,mote,"n. 微粒,微尘",张红岩：list002
276,neutron,n. 中子,张红岩：list002
277,nonradioactive,adj. 非放射性的,张红岩：list002
278,nova,n.新星,张红岩：list002
279,noxious,"adj. 有害的,有毒的",张红岩：list002
280,nucleus,n. （原子）核,张红岩：list002
281,observatory,n.天文台,张红岩：list002
282,odometer,n. (汽车)里程表,张红岩：list002
283,ointment,"n. 油膏,软膏",张红岩：list002
284,ossify,"vi. vt. 硬化,骨化; (传统)僵化",张红岩：list002
285,oxidize,"vt. 氧化,生锈",张红岩：list002
286,permeate,vi. vt. 扩散; 渗透,张红岩：list002
287,pesticide,n. 杀虫剂,张红岩：list002
288,pigment,n. 天然色素; 干粉颜料,张红岩：list002
289,precipitant,adj. 仓促的 n.沉淀剂,张红岩：list002
290,projectile,"n. 抛射物,发射体",张红岩：list002
291,quantum,n.定量; 量子,张红岩：list002
292,reactant,n. 反应物,张红岩：list002
293,reflect,vi. vt. 反射; 仔细考虑,张红岩：list002
294,refraction,n.折射,张红岩：list002
295,resilience,"n. 弹性,弹力",张红岩：list002
296,resound,vi. vt. 回荡着声音;鸣响,张红岩：list002
297,saccharin,n. 糖精,张红岩：list002
298,sextant,n.六分仪(航海定向仪器),张红岩：list002
299,sidereal,adj.恒星的,张红岩：list002
300,soluble,adj. 可溶的;可以解决的,张红岩：list002
301,solvent,adj. 有偿债能力的; n.溶剂,张红岩：list002
302,spatial,adj.有关空间的，在空间的,张红岩：list002
303,spectrum,n.光谱; 范围,张红岩：list002
304,stellar,"adj. 星的,星球的",张红岩：list002
305,supernova,n. 超新星,张红岩：list002
306,thaw,"vi. vt.解冻,溶化",张红岩：list002
307,thermal,"adj.热的,热量的;温暖的 ; n.热气流",张红岩：list002
308,torque,n.转矩; 项圈,张红岩：list002
309,toxin,"n.毒素,毒质",张红岩：list002
310,trajectory,n.(抛射物)弹道轨道,张红岩：list002
311,velocity,n.速度; 迅速,张红岩：list002
312,yeast,"n.酵母,兴奋",张红岩：list002
313,aeronautics,n.航空学,张红岩：list002
314,carat,n. (宝石重量单位)克拉;(金子)开,张红岩：list002
315,centrifugal,adj. 离心的,张红岩：list002
316,centripetal,adj. 向心的,张红岩：list002
317,defoliant,n. 脱叶剂，落叶剂,张红岩：list002
318,desalinize,vt. 除去盐分,张红岩：list002
319,empyrean,"n.天空,天神居处",张红岩：list002
320,icing,"n. 糖衣,糖霜",张红岩：list002
321,miscellany,n.混合物,张红岩：list002
322,saliferous,"adj. 含盐的,产盐的",张红岩：list002
323,tensile,"adj.张力的,紧张的",张红岩：list002
324,horoscope,n.星占，算命天宫图,张红岩：list002
325,rotundity,n.圆形，圆形物；圆润,张红岩：list002
326,sonic,a.声音的，音速的，音波的,张红岩：list002
327,vaporization,n.气化,张红岩：list002
328,vaporize,v.使气化，使蒸发,张红岩：list002
329,pen,n. 围栏; 监禁,张红岩：list003
330,pen,n.钢笔,张红岩：list003
331,school,n.学校,张红岩：list003
332,down,adv.& prep向下；下去；沿着,张红岩：list003
333,mutton,n.羊肉,张红岩：list003
334,down,adv.向下；在下面；下去；降下,张红岩：list003
335,herd,n.草本植物；药草；香草,张红岩：list003
336,fold,v.折叠；折起来,张红岩：list003
337,fell,v. fall的过去式,张红岩：list003
338,low,adj.低的,张红岩：list003
339,pack,v.把……打包；把……装箱,张红岩：list003
340,habitat,n.生活环境；栖息地,张红岩：list003
341,kangaroo,n.袋鼠,张红岩：list003
342,mosquito,n.蚊子,张红岩：list003
343,sow,vt.＆vi.播种；散布；使密布,张红岩：list003
344,fold,vt.&vi.折叠；合拢；抱住,张红岩：list003
345,jade,n.玉石；碧玉；翡翠,张红岩：list003
346,mammal,n.哺乳动物,张红岩：list003
347,plankton,n.浮游生物,张红岩：list003
348,ivory,n.象牙,张红岩：list003
349,cheetah,n.猎豹,张红岩：list003
350,mutton,n.羊肉,张红岩：list003
351,gorilla,n.大猩猩,张红岩：list003
352,hive,n. (即beehive)蜂箱;蜂房,张红岩：list003
353,primate,n.灵长目动物,张红岩：list003
354,amphibian,n. 两栖动物;水陆两用飞行器,张红岩：list003
355,antenna,"n. 触角,天线",张红岩：list003
356,aviary,"n.大鸟笼,鸟舍",张红岩：list003
357,badger,"n.獾; vt.一再烦扰,一再要求",张红岩：list003
358,biped,n. 二足动物,张红岩：list003
359,brood,n. 一窝幼鸟; vt.孵蛋; 冥想,张红岩：list003
360,canary,"n. 金丝雀,女歌星",张红岩：list003
361,canine,"adj. 犬的,似犬的",张红岩：list003
362,carapace,n.(蟹或龟等的)甲壳,张红岩：list003
363,carnivorous,adj.肉食动物的,张红岩：list003
364,carp,n. 鲤鱼; vi. 吹毛求疵,张红岩：list003
365,caterpillar,"n.毛虫,蝴蝶的幼虫",张红岩：list003
366,centaur,n.人头马怪物,张红岩：list003
367,chameleon,"n.变色龙,蜥蜴",张红岩：list003
368,chimera,n. 神话怪物; 梦幻,张红岩：list003
369,chipmunk,n. 花栗鼠(像松鼠的美洲小动物),张红岩：list003
370,clam,"n. 蛤蜊,蛤肉",张红岩：list003
371,cocoon,n. 茧,张红岩：list003
372,cohabit,vt. (通常指未婚的)双方同居,张红岩：list003
373,coop,n. (鸡)笼、栏,张红岩：list003
374,corral,n. (牛、马等)畜栏,张红岩：list003
375,cougar,n. 美洲豹,张红岩：list003
376,crab,"n. 蟹;vi. vt. 抱怨,挑剔",张红岩：list003
377,croak,n. 蛙鸣声,张红岩：list003
378,cub,n. 幼兽; 年轻无经验的人,张红岩：list003
379,den,"n. 兽穴,窝;秘密相聚的地方",张红岩：list003
380,dormant,adj. 冬眠的; 静止的,张红岩：list003
381,drove,n. 畜群; 人群,张红岩：list003
382,duckling,"n. 雏鸭,小鸭",张红岩：list003
383,equine,"adj. 马的,似马的",张红岩：list003
384,ewe,n. 母羊,张红岩：list003
385,falcon,n.猎鹰; 隼,张红岩：list003
386,fang,n.(毒蛇的)尖牙,张红岩：list003
387,fawn,"n.未满周岁的小鹿; vi.巴结,奉承",张红岩：list003
388,fell,n.兽皮;vt.砍伐,张红岩：list003
389,ferret,n.雪貂; vi. vt.搜寻,张红岩：list003
390,filly,n. 小母马,张红岩：list003
391,firefly,n.萤火虫,张红岩：list003
392,fledge,"vt. 小鸟长飞羽, 变得羽毛丰满",张红岩：list003
393,fledgling,n. 正在学习飞行的幼鸟; 无经验的人,张红岩：list003
394,flock,"n.羊群,鸟群",张红岩：list003
395,flounder,n. 比目鱼,张红岩：list003
396,gadfly,"n. 虻,牛虻; 讨厌的人",张红岩：list003
397,gaggle,n. 鹅群,张红岩：list003
398,generic,"adj. 种类的,类属的",张红岩：list003
399,glade,n. 林中的空地,张红岩：list003
400,grouse,"n. 松鸡; vi. 牢骚,诉苦",张红岩：list003
401,habitat,"n. 自然环境,栖息地",张红岩：list003
402,hawk,n. 隼鹰,张红岩：list003
403,herbivorous,adj．食草的,张红岩：list003
404,herd,n. 兽群; vi. vt. 聚集,张红岩：list003
405,herpetologist,n.爬行动物学家,张红岩：list003
406,hoof,n. (牛马的)蹄,张红岩：list003
407,incubate,vi. vt.孵化,张红岩：list003
408,incubation,"n. 孵卵期,潜伏期",张红岩：list003
409,inhabitant,n. 居民; 栖息的动物,张红岩：list003
410,invertebrate,adj. n. 无脊椎的(动物),张红岩：list003
411,ivory,"n. 象牙,长牙",张红岩：list003
412,jade,"n. 疲惫的老马,玉,翡翠",张红岩：list003
413,kangaroo,n.袋鼠,张红岩：list003
414,kennel,"n. 狗舍, 狗窝",张红岩：list003
415,lair,n. 野兽的巢穴; 躲藏处,张红岩：list003
416,larva,n. (昆虫的)幼虫,张红岩：list003
417,magpie,"n. 鹊,饶舌的人",张红岩：list003
418,mare,n. 母马; 母驴,张红岩：list003
419,marsupial,n.  adj. 有袋动物(的),张红岩：list003
420,minnow,"n. 鲦鱼,小淡水鱼",张红岩：list003
421,mite,n. 极小量; 小虫,张红岩：list003
422,molt,"vt. 换羽,脱毛; n. 换羽（期）,脱毛（期）",张红岩：list003
423,mongrel,n. 杂种动物; 混血儿,张红岩：list003
424,mosquito,n.蚊子,张红岩：list003
425,ornithologist,n.鸟类学家，鸟类学者,张红岩：list003
426,ornithology,n. 鸟类学,张红岩：list003
427,ostrich,n. 鸵鸟; 不接受现实的人,张红岩：list003
428,otter,n.水獭,张红岩：list003
429,owl,n. 猫头鹰,张红岩：list003
430,panther,n. 黑豹,张红岩：list003
431,parasite,"n. 寄生虫,食客",张红岩：list003
432,perch,vt. (鸟)栖息; n. 鲈鱼,张红岩：list003
433,phoenix,n.凤凰，永生或再生的象征,张红岩：list003
434,plankton,n. 浮游生物,张红岩：list003
435,plume,n. 羽毛; vt. 整理羽毛; 搔首弄姿,张红岩：list003
436,porcupine,"n. 豪猪,箭猪",张红岩：list003
437,predator,n. 食肉动物,张红岩：list003
438,prey,n. 被捕食的动物,张红岩：list003
439,primate,n. 灵长类(动物),张红岩：list003
440,proboscis,n.(象)长鼻; (昆虫等)吸管,张红岩：list003
441,pullet,n. 小母鸡,张红岩：list003
442,quarry,n.采石场;vi. vt.采石,张红岩：list003
443,ram,n.公羊；撞锤，猛击；填塞,张红岩：list003
444,reptile,n.爬行动物；卑鄙的人,张红岩：list003
445,reptilian,adj. 爬虫类的; 卑下的,张红岩：list003
446,roe,n. 鱼卵,张红岩：list003
447,ruminant,"adj.(动物)反刍的,沉思的",张红岩：list003
448,salmon,n.大麻哈鱼；鲜肉色,张红岩：list003
449,school,n. 学校;鱼群,张红岩：list003
450,scorpion,n. 蝎子,张红岩：list003
451,slough,vi. vt.(蛇等)蜕皮; n. (蛇等)蜕皮,张红岩：list003
452,sow,n.母猪; vi. vt.播种,张红岩：list003
453,spawn,n.(鱼等)卵子; vi. vt.大量生产,张红岩：list003
454,swine,n.猪(pig),张红岩：list003
455,tadpole,n.蝌蚪,张红岩：list003
456,talon,n.猛禽的锐爪,张红岩：list003
457,termite,n.白蚁,张红岩：list003
458,tusk,n.(象)长牙,张红岩：list003
459,unicorn,n.(传说中的)独角兽,张红岩：list003
460,vulture,n. 秃鹫,张红岩：list003
461,walrus,n.海象,张红岩：list003
462,weasel,"n.黄鼠狼,鼬; vi.逃避",张红岩：list003
463,anthropoid,adj. 像人类的;n. 类人猿,张红岩：list003
464,aquiline,"adj. 鹰的,似鹰的",张红岩：list003
465,arachnid,n.蜘蛛类节支动物,张红岩：list003
466,colt,n. 小雄驹,张红岩：list003
467,condor,n. 秃鹰; 神鹰,张红岩：list003
468,cygnet,n. 幼天鹅,张红岩：list003
469,eaglet,n. 小鹰,张红岩：list003
470,ecdysis,"n.(动物)蜕皮, 换羽毛",张红岩：list003
471,embryonic,"adj. 胚胎的, 萌芽期的",张红岩：list003
472,farrow,vt.(母猪)生产; n.一窝小猪,张红岩：list003
473,feline,adj. 猫科的,张红岩：list003
474,fishery,n.渔场,张红岩：list003
475,gander,n. 雄鹅;笨人; vi. 闲逛,张红岩：list003
476,gosling,n. 小鹅; 年轻无知的人,张红岩：list003
477,gull,n. 海鸥; vt. 欺骗,张红岩：list003
478,hedgehog,n. 刺猬,张红岩：list003
479,hippopotamus,n. 河马,张红岩：list003
480,locust,n. 蝗虫; 贪吃的人,张红岩：list003
481,mangy,adj. (兽)疥癣的；污秽的,张红岩：list003
482,mermaid,n. 美人鱼,张红岩：list003
483,mutton,n.羊肉,张红岩：list003
484,nestling,n. 尚未离巢的小鸟,张红岩：list003
485,pony,n. 小马,张红岩：list003
486,quadruped,n.四足兽,张红岩：list003
487,simian,"adj.猿的,猴的; n.猴, 类人猿",张红岩：list003
488,skunk,"n.臭鼬,黄鼠狼",张红岩：list003
489,ursine,"adj.熊的,像熊的",张红岩：list003
490,vermin,"害虫,寄生虫",张红岩：list003
491,wallow,vi. n.(猪等)在泥水中打滚; 沉溺于,张红岩：list003
492,whelp,n.犬科的幼兽,张红岩：list003
493,hibernate,v.冬眠,张红岩：list003
494,hide,n.兽皮，皮革,张红岩：list003
495,pest,n.害虫,张红岩：list003
496,squirrel,n.松鼠,张红岩：list003
497,tarantula,n.塔兰图拉毒蛛,张红岩：list003
498,warren,n.养兔场，大杂院，拥挤的公寓,张红岩：list003
499,pterodactyl,n.翼龙,张红岩：list003
500,ichthyology,n.鱼类学,张红岩：list003
501,behemoth,n.巨兽，庞大的怪物,张红岩：list003
502,aerie,n.天空,张红岩：list003
503,gum,n.口香糖,张红岩：list004
504,bark,v.（狗等）叫声,张红岩：list004
505,bulb,n.电灯泡；电灯,张红岩：list004
506,shoot,v.投篮；射击,张红岩：list004
507,oak,n.橡树；橡木,张红岩：list004
